Name,review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,title_and_comment,polarity_scores_PT,Sentiment_PT,English_title_comment
dataset,8704f8a35b430c33adee97dab6264fa5,a8bb77ab67213461d5c632d41df4fafd,5,??,otimo,02/08/2018 00:00,02/08/2018 19:41,??  Otimo,0,neutral,?? Great
dataset,c10d80738052c682f1891cc0a17eabe2,7595f9b8e070df43bea3c85e1e25d361,5,??????????,otimo,10/08/2018 00:00,13/08/2018 11:15,?????????? OTIMO,0,neutral,?????????? GREAT
dataset,c6d5e6ba16748c656ad10e1293176fe6,80dda88e428c897ea6312859afee7907,5,??????????,Muito bom,14/06/2018 00:00,14/06/2018 19:26,?????????? Muito bom,0,neutral,?????????? Very good
dataset,d658933424632c54f905ff076f317a16,2c60a2b23a96f36c97dbe108da3ab34f,5,????,Recomendo.,26/05/2018 00:00,26/05/2018 20:14,???? Recomendo.,0,neutral,???? Recommend.
dataset,690612e4dcfd8c05865ded2c6da079d2,0807b732c1e7621078473cec87389c8d,5,????,,27/04/2018 00:00,28/04/2018 00:33,????,0,neutral,????
dataset,469d8e8f8a6e7740579dbbe739a32ed5,48d91da7c9395c02b5d9e02dd9b8c278,5,??,Muito bom!!!,27/07/2018 00:00,28/07/2018 14:17,?? Muito bom!!!,0,neutral,?? Very good!!!
dataset,0e7bc73fde6782891898ea71443f9904,bd78f91afbb1ecbc6124974c5e813043,4,??,Aprovado!,04/07/2018 00:00,05/07/2018 00:25,?? Aprovado!,0,neutral,?? Approved!
dataset,7a5acaa9d3715e2865397daa926ec2bf,4c6e24a5fceacbcf444cdb5141ec1688,5,??,,15/08/2018 00:00,15/08/2018 17:35,??,0,neutral,??
dataset,533823ab9e5c4e16d8e003cb8cb1aa39,4e9cb71601575577f2208d3aedf933cc,5,?????????? super recomend,"Produto perfeito , b",27/07/2018 00:00,29/07/2018 15:43,"?????????? super recomend Produto perfeito , b",0.5994,positive,"?????????? super recommend Perfect product, b"
dataset,5d4d8c1b6a919765d9a1026d88ae6732,8e5d0c2169e3d73e73ad4591d43481a1,5,5 ??,Muito bommm recomendo!,30/05/2018 00:00,30/05/2018 21:16,5 ??  Muito bommm recomendo!,0,neutral,?? 5 Very goodmm recommend!
dataset,dd5fac3c4cbf71a90c5582b6d86cb6bd,aab255ef2ea7066420316c7ae7094fe2,5,ZMA,,22/08/2018 00:00,24/08/2018 18:39,ZMA,0,neutral,ZMA
dataset,98ca16128f096f1480e7694105da4c0a,3bc480522832a0e93da7aeced8fcd9a1,1,Zero nota zero,Mentiroso paguei 3 canecas veio s¢ uma e rachada quebrada.. J† foi descontado o valor das 3 canecas xì meu cart∆o... E s¢ me mandaram uma e rachada quebrada.. cade as outras????? Falta de respeito,20/06/2018 00:00,20/06/2018 22:02,Zero nota zero Mentiroso paguei 3 canecas veio s¢ uma e rachada quebrada.. J† foi descontado o valor das 3 canecas xì meu cart∆o... E s¢ me mandaram uma e rachada quebrada.. cade as outras????? Falta de respeito,0,neutral,Zero zero note Liar I paid 3 mugs came only one and cracked broken.. The value of the 3 xì my card mugs has already been deducted... And they only sent me one and broken crack.. Where are the others????? Lack of respect
