Word,Frequency,Sentiment
product,7761,Positive
very,4881,Positive
great,4607,Positive
recommend,4414,Positive
good,4343,Positive
delivery,3153,Positive
before,2775,Positive
arrived,2668,Positive
deadline,2602,Positive
excellent,2561,Positive
well,1858,Positive
time,1846,Positive
fast,1756,Positive
loved,1741,Positive
quality,1714,Positive
beautiful,1653,Positive
delivered,1498,Positive
perfect,1464,Positive
highly,1281,Positive
super,1212,Positive
store,1182,Positive
everything,1089,Positive
liked,1069,Positive
you,973,Positive
congratulations,959,Positive
satisfied,945,Positive
received,924,Positive
purchase,806,Positive
came,752,Positive
buy,696,Positive
condition,691,Positive
service,654,Positive
thank,630,Positive
ahead,625,Positive
expected,619,Positive
schedule,585,Positive
lannister,513,Positive
packaged,501,Positive
always,500,Positive
products,456,Positive
bought,450,Positive
like,448,Positive
right,438,Positive
price,414,Positive
really,392,Positive
than,392,Positive
ok,389,Positive
am,384,Positive
because,377,Positive
only,359,Positive
just,356,Positive
one,350,Positive
much,339,Positive
made,336,Positive
lot,330,Positive
even,328,Positive
more,313,Positive
seller,304,Positive
date,300,Positive
wonderful,288,Positive
me,282,Positive
expectations,280,Positive
site,277,Positive
order,275,Positive
days,274,Positive
material,273,Positive
everyone,272,Positive
so,267,Positive
long,257,Positive
watch,255,Positive
yet,241,Positive
within,237,Positive
recommended,236,Positive
already,228,Positive
without,226,Positive
thanks,221,Positive
easy,217,Positive
better,213,Positive
stores,209,Positive
correct,208,Positive
agreed,198,Positive
best,189,Positive
didn,189,Positive
haven,186,Positive
happy,182,Positive
photo,179,Positive
quickly,179,Positive
buying,175,Positive
love,175,Positive
little,171,Positive
if,170,Positive
original,165,Positive
cost,163,Positive
other,163,Positive
worth,163,Positive
company,160,Positive
met,158,Positive
exactly,157,Positive
baratheon,148,Positive
any,148,Positive
product,4399,Negative
came,1346,Negative
received,1332,Negative
delivery,1083,Negative
one,1050,Negative
bought,1036,Negative
no,936,Negative
didn,886,Negative
only,839,Negative
delivered,818,Negative
very,782,Negative
because,693,Negative
time,665,Negative
me,663,Negative
arrived,641,Negative
wrong,616,Negative
recommend,615,Negative
store,578,Negative
did,576,Negative
so,567,Negative
purchase,534,Negative
missing,528,Negative
receive,524,Negative
don,509,Negative
like,506,Negative
do,501,Negative
quality,496,Negative
bad,444,Negative
already,440,Negative
problem,439,Negative
sent,430,Negative
post,428,Negative
delay,418,Negative
order,416,Negative
office,416,Negative
you,400,Negative
return,390,Negative
does,388,Negative
far,383,Negative
made,378,Negative
want,343,Negative
two,339,Negative
waiting,333,Negative
lannister,326,Negative
even,326,Negative
good,312,Negative
deadline,304,Negative
another,296,Negative
yet,293,Negative
if,290,Negative
products,284,Negative
without,267,Negative
buy,265,Negative
still,263,Negative
defective,261,Negative
broken,255,Negative
exchange,254,Negative
paid,248,Negative
different,246,Negative
after,243,Negative
terrible,241,Negative
up,238,Negative
days,238,Negative
poor,236,Negative
know,230,Negative
am,228,Negative
arrive,226,Negative
deliver,224,Negative
more,217,Negative
response,216,Negative
box,213,Negative
any,201,Negative
about,200,Negative
company,199,Negative
nothing,195,Negative
just,190,Negative
color,189,Negative
long,188,Negative
contact,186,Negative
than,185,Negative
website,185,Negative
other,184,Negative
same,183,Negative
come,177,Negative
haven,176,Negative
before,175,Negative
shipping,173,Negative
email,172,Negative
money,171,Negative
back,169,Negative
day,169,Negative
invoice,168,Negative
photo,168,Negative
doesn,166,Negative
get,166,Negative
lack,161,Negative
unfortunately,159,Negative
problems,158,Negative
work,156,Negative
site,153,Negative
product,7524,Neutral
good,3233,Neutral
very,2751,Neutral
received,2662,Neutral
delivery,2607,Neutral
delivered,2488,Neutral
arrived,2230,Neutral
time,2126,Neutral
recommend,1788,Neutral
deadline,1710,Neutral
only,1505,Neutral
bought,1477,Neutral
before,1455,Neutral
one,1196,Neutral
didn,1136,Neutral
came,1108,Neutral
receive,1010,Neutral
yet,997,Neutral
fast,961,Neutral
everything,858,Neutral
so,758,Neutral
store,739,Neutral
purchase,737,Neutral
haven,708,Neutral
order,691,Neutral
quality,683,Neutral
right,670,Neutral
did,670,Neutral
you,635,Neutral
waiting,635,Neutral
two,625,Neutral
me,606,Neutral
well,605,Neutral
expected,565,Neutral
because,560,Neutral
products,558,Neutral
far,552,Neutral
liked,529,Neutral
buy,475,Neutral
ok,463,Neutral
long,450,Neutral
still,444,Neutral
highly,436,Neutral
made,429,Neutral
satisfied,427,Neutral
than,425,Neutral
ahead,425,Neutral
days,405,Neutral
schedule,405,Neutral
arrive,396,Neutral
already,390,Neutral
even,380,Neutral
lannister,379,Neutral
date,351,Neutral
correct,350,Neutral
more,347,Neutral
always,343,Neutral
post,337,Neutral
like,334,Neutral
if,334,Neutral
deliver,334,Neutral
sent,327,Neutral
office,326,Neutral
within,325,Neutral
paid,321,Neutral
just,321,Neutral
don,316,Neutral
come,312,Neutral
without,312,Neutral
know,311,Neutral
want,304,Neutral
different,299,Neutral
am,298,Neutral
do,297,Neutral
other,288,Neutral
return,283,Neutral
up,278,Neutral
same,277,Neutral
does,274,Neutral
another,273,Neutral
took,264,Neutral
expectations,264,Neutral
invoice,262,Neutral
nothing,249,Neutral
service,248,Neutral
website,245,Neutral
shipping,236,Neutral
need,236,Neutral
ordered,234,Neutral
any,227,Neutral
day,223,Neutral
advertised,221,Neutral
much,217,Neutral
lot,210,Neutral
should,209,Neutral
company,207,Neutral
after,206,Neutral
packaged,205,Neutral
until,202,Neutral
too,201,Neutral
